district,school,students,grades,year,students_required_to_test_ela,students_tested_ela,pct_students_tested_ela,students_below_expectations_ela,students_at_above_expectations_ela,pct_below_expectations_ela,pct_at_above_expectations_ela
RSU 18,Williams Elementary School,All Students,All Grades,2025,221,221,100.00%,86,135,38.90%,61.10%
RSU 18,Williams Elementary School,All Students,3,2021,80,80,100.00%,5,75,6.30%,93.80%
RSU 18,Williams Elementary School,All Students,3,2022,67,67,100.00%,-1,-1,-1.00%,-1.00%
RSU 18,Williams Elementary School,All Students,3,2023,60,57,95.00%,23,34,40.40%,59.60%
RSU 18,Williams Elementary School,All Students,3,2024,71,68,95.80%,22,46,32.40%,67.60%
RSU 18,Williams Elementary School,All Students,3,2025,84,84,100.00%,39,45,46.40%,53.60%
RSU 18,Williams Elementary School,All Students,4,2021,74,74,100.00%,6,68,8.10%,91.90%
RSU 18,Williams Elementary School,All Students,4,2022,91,90,98.90%,7,83,7.80%,92.20%
RSU 18,Williams Elementary School,All Students,4,2023,74,73,98.60%,20,53,27.40%,72.60%
RSU 18,Williams Elementary School,All Students,4,2024,58,58,100.00%,18,40,31.00%,69.00%
RSU 18,Williams Elementary School,All Students,4,2025,73,73,100.00%,26,47,35.60%,64.40%
RSU 18,Williams Elementary School,All Students,5,2021,58,55,94.80%,-1,-1,-1.00%,-1.00%
RSU 18,Williams Elementary School,All Students,5,2022,62,61,98.40%,6,55,9.80%,90.20%
RSU 18,Williams Elementary School,All Students,5,2023,92,91,98.90%,26,65,28.60%,71.40%
RSU 18,Williams Elementary School,All Students,5,2024,82,80,97.60%,15,65,18.80%,81.30%
RSU 18,Williams Elementary School,All Students,5,2025,64,64,100.00%,21,43,32.80%,67.20%
RSU 19,All Schools,All Students,All Grades,2021,976,920,94.30%,179,741,19.50%,80.50%
RSU 19,All Schools,All Students,All Grades,2022,976,929,95.20%,174,755,18.70%,81.30%
RSU 19,All Schools,All Students,All Grades,2023,965,913,94.60%,404,509,44.20%,55.80%
RSU 19,All Schools,All Students,All Grades,2024,929,892,96.00%,382,510,42.80%,57.20%
RSU 19,All Schools,All Students,All Grades,2025,937,910,97.10%,430,480,47.30%,52.70%
RSU 19,All Schools,All Students,3,2021,111,110,99.10%,19,91,17.30%,82.70%
RSU 19,All Schools,All Students,3,2022,127,127,100.00%,34,93,26.80%,73.20%
RSU 19,All Schools,All Students,3,2023,127,126,99.20%,54,72,42.90%,57.10%
RSU 19,All Schools,All Students,3,2024,128,128,100.00%,51,77,39.80%,60.20%
RSU 19,All Schools,All Students,3,2025,156,156,100.00%,67,89,42.90%,57.10%
RSU 19,All Schools,All Students,4,2021,134,133,99.30%,27,106,20.30%,79.70%
RSU 19,All Schools,All Students,4,2022,118,117,99.20%,18,99,15.40%,84.60%
RSU 19,All Schools,All Students,4,2023,133,132,99.20%,46,86,34.80%,65.20%
RSU 19,All Schools,All Students,4,2024,126,124,98.40%,55,69,44.40%,55.60%
RSU 19,All Schools,All Students,4,2025,126,126,100.00%,53,73,42.10%,57.90%
RSU 19,All Schools,All Students,5,2021,129,126,97.70%,26,100,20.60%,79.40%
RSU 19,All Schools,All Students,5,2022,128,127,99.20%,26,101,20.50%,79.50%
RSU 19,All Schools,All Students,5,2023,127,124,97.60%,45,79,36.30%,63.70%
RSU 19,All Schools,All Students,5,2024,121,120,99.20%,51,69,42.50%,57.50%
RSU 19,All Schools,All Students,5,2025,127,125,98.40%,59,66,47.20%,52.80%
RSU 19,All Schools,All Students,6,2021,141,138,97.90%,27,111,19.60%,80.40%
RSU 19,All Schools,All Students,6,2022,132,131,99.20%,17,114,13.00%,87.00%
RSU 19,All Schools,All Students,6,2023,135,131,97.00%,50,81,38.20%,61.80%
RSU 19,All Schools,All Students,6,2024,124,121,97.60%,38,83,31.40%,68.60%
RSU 19,All Schools,All Students,6,2025,118,116,98.30%,54,62,46.60%,53.40%
RSU 19,All Schools,All Students,7,2021,156,151,96.80%,40,111,26.50%,73.50%
RSU 19,All Schools,All Students,7,2022,147,139,94.60%,37,102,26.60%,73.40%
RSU 19,All Schools,All Students,7,2023,137,133,97.10%,67,66,50.40%,49.60%
RSU 19,All Schools,All Students,7,2024,131,125,95.40%,50,75,40.00%,60.00%
RSU 19,All Schools,All Students,7,2025,126,122,96.80%,53,69,43.40%,56.60%
RSU 19,All Schools,All Students,8,2021,147,141,95.90%,25,116,17.70%,82.30%
RSU 19,All Schools,All Students,8,2022,155,150,96.80%,21,129,14.00%,86.00%
RSU 19,All Schools,All Students,8,2023,142,130,91.50%,58,72,44.60%,55.40%
RSU 19,All Schools,All Students,8,2024,135,126,93.30%,66,60,52.40%,47.60%
RSU 19,All Schools,All Students,8,2025,140,136,97.10%,82,54,60.30%,39.70%
RSU 19,All Schools,All Students,High School,2021,153,114,74.50%,9,105,7.90%,92.10%
RSU 19,All Schools,All Students,High School,2022,162,130,80.20%,16,114,12.30%,87.70%
RSU 19,All Schools,All Students,High School,2023,162,137,84.60%,84,53,61.30%,38.70%
RSU 19,All Schools,All Students,High School,2024,165,149,90.30%,71,78,47.70%,52.30%
RSU 19,All Schools,All Students,High School,2025,144,129,89.60%,62,67,48.10%,51.90%
RSU 19,Etna-Dixmont School,All Students,All Grades,2021,65,65,100.00%,9,56,13.80%,86.20%
RSU 19,Etna-Dixmont School,All Students,All Grades,2022,62,62,100.00%,5,57,8.10%,91.90%
RSU 19,Etna-Dixmont School,All Students,All Grades,2023,57,57,100.00%,18,39,31.60%,68.40%
RSU 19,Etna-Dixmont School,All Students,All Grades,2024,58,58,100.00%,22,36,37.90%,62.10%
RSU 19,Etna-Dixmont School,All Students,All Grades,2025,69,69,100.00%,26,43,37.70%,62.30%
RSU 19,Etna-Dixmont School,All Students,3,2021,32,32,100.00%,-1,-1,-1.00%,-1.00%
RSU 19,Etna-Dixmont School,All Students,3,2022,28,28,100.00%,-1,-1,-1.00%,-1.00%
RSU 19,Etna-Dixmont School,All Students,3,2023,27,27,100.00%,11,16,40.70%,59.30%
RSU 19,Etna-Dixmont School,All Students,3,2024,35,35,100.00%,13,22,37.10%,62.90%
RSU 19,Etna-Dixmont School,All Students,3,2025,39,39,100.00%,15,24,38.50%,61.50%
RSU 19,Etna-Dixmont School,All Students,4,2021,33,33,100.00%,5,28,15.20%,84.80%
RSU 19,Etna-Dixmont School,All Students,4,2022,34,34,100.00%,-1,-1,-1.00%,-1.00%
RSU 19,Etna-Dixmont School,All Students,4,2023,30,30,100.00%,7,23,23.30%,76.70%
RSU 19,Etna-Dixmont School,All Students,4,2024,23,23,100.00%,9,14,39.10%,60.90%
RSU 19,Etna-Dixmont School,All Students,4,2025,30,30,100.00%,11,19,36.70%,63.30%
RSU 19,Nokomis Regional High School,All Students,All Grades,2021,152,114,75.00%,9,105,7.90%,92.10%
RSU 19,Nokomis Regional High School,All Students,All Grades,2022,162,130,80.20%,16,114,12.30%,87.70%
RSU 19,Nokomis Regional High School,All Students,All Grades,2023,162,137,84.60%,84,53,61.30%,38.70%
RSU 19,Nokomis Regional High School,All Students,All Grades,2024,165,149,90.30%,71,78,47.70%,52.30%
RSU 19,Nokomis Regional High School,All Students,All Grades,2025,144,129,89.60%,62,67,48.10%,51.90%
RSU 19,Nokomis Regional High School,All Students,High School,2021,153,114,74.50%,9,105,7.90%,92.10%
RSU 19,Nokomis Regional High School,All Students,High School,2022,162,130,80.20%,16,114,12.30%,87.70%
RSU 19,Nokomis Regional High School,All Students,High School,2023,162,137,84.60%,84,53,61.30%,38.70%
RSU 19,Nokomis Regional High School,All Students,High School,2024,165,149,90.30%,71,78,47.70%,52.30%
RSU 19,Nokomis Regional High School,All Students,High School,2025,144,129,89.60%,62,67,48.10%,51.90%
RSU 19,Nokomis Regional Middle School,All Students,All Grades,2021,573,557,97.20%,119,438,21.40%,78.60%
RSU 19,Nokomis Regional Middle School,All Students,All Grades,2022,562,550,97.90%,103,447,18.70%,81.30%
RSU 19,Nokomis Regional Middle School,All Students,All Grades,2023,541,518,95.70%,220,298,42.50%,57.50%
RSU 19,Nokomis Regional Middle School,All Students,All Grades,2024,511,492,96.30%,205,287,41.70%,58.30%
RSU 19,Nokomis Regional Middle School,All Students,All Grades,2025,511,499,97.70%,248,251,49.70%,50.30%
RSU 19,Nokomis Regional Middle School,All Students,5,2021,129,126,97.70%,26,100,20.60%,79.40%
RSU 19,Nokomis Regional Middle School,All Students,5,2022,128,127,99.20%,26,101,20.50%,79.50%
RSU 19,Nokomis Regional Middle School,All Students,5,2023,127,124,97.60%,45,79,36.30%,63.70%
RSU 19,Nokomis Regional Middle School,All Students,5,2024,121,120,99.20%,51,69,42.50%,57.50%
RSU 19,Nokomis Regional Middle School,All Students,5,2025,127,125,98.40%,59,66,47.20%,52.80%
RSU 19,Nokomis Regional Middle School,All Students,6,2021,141,138,97.90%,27,111,19.60%,80.40%
RSU 19,Nokomis Regional Middle School,All Students,6,2022,132,131,99.20%,17,114,13.00%,87.00%
RSU 19,Nokomis Regional Middle School,All Students,6,2023,135,131,97.00%,50,81,38.20%,61.80%
RSU 19,Nokomis Regional Middle School,All Students,6,2024,124,121,97.60%,38,83,31.40%,68.60%
RSU 19,Nokomis Regional Middle School,All Students,6,2025,118,116,98.30%,54,62,46.60%,53.40%
RSU 19,Nokomis Regional Middle School,All Students,7,2021,156,151,96.80%,40,111,26.50%,73.50%
RSU 19,Nokomis Regional Middle School,All Students,7,2022,147,139,94.60%,37,102,26.60%,73.40%
RSU 19,Nokomis Regional Middle School,All Students,7,2023,137,133,97.10%,67,66,50.40%,49.60%
RSU 19,Nokomis Regional Middle School,All Students,7,2024,131,125,95.40%,50,75,40.00%,60.00%
RSU 19,Nokomis Regional Middle School,All Students,7,2025,126,122,96.80%,53,69,43.40%,56.60%
RSU 19,Nokomis Regional Middle School,All Students,8,2021,147,141,95.90%,25,116,17.70%,82.30%
RSU 19,Nokomis Regional Middle School,All Students,8,2022,155,150,96.80%,21,129,14.00%,86.00%
RSU 19,Nokomis Regional Middle School,All Students,8,2023,142,130,91.50%,58,72,44.60%,55.40%
RSU 19,Nokomis Regional Middle School,All Students,8,2024,135,126,93.30%,66,60,52.40%,47.60%
RSU 19,Nokomis Regional Middle School,All Students,8,2025,140,136,97.10%,82,54,60.30%,39.70%
RSU 19,Sebasticook Valley Elementary School,All Students,All Grades,2021,114,112,98.20%,20,92,17.90%,82.10%
RSU 19,Sebasticook Valley Elementary School,All Students,All Grades,2022,117,117,100.00%,28,89,23.90%,76.10%
RSU 19,Sebasticook Valley Elementary School,All Students,All Grades,2023,118,118,100.00%,42,76,35.60%,64.40%
RSU 19,Sebasticook Valley Elementary School,All Students,All Grades,2024,117,117,100.00%,44,73,37.60%,62.40%
RSU 19,Sebasticook Valley Elementary School,All Students,All Grades,2025,132,132,100.00%,58,74,43.90%,56.10%
RSU 19,Sebasticook Valley Elementary School,All Students,3,2021,53,52,98.10%,9,43,17.30%,82.70%
RSU 19,Sebasticook Valley Elementary School,All Students,3,2022,60,60,100.00%,18,42,30.00%,70.00%
RSU 19,Sebasticook Valley Elementary School,All Students,3,2023,56,56,100.00%,20,36,35.70%,64.30%
RSU 19,Sebasticook Valley Elementary School,All Students,3,2024,59,59,100.00%,27,32,45.80%,54.20%
RSU 19,Sebasticook Valley Elementary School,All Students,3,2025,69,69,100.00%,29,40,42.00%,58.00%
RSU 19,Sebasticook Valley Elementary School,All Students,4,2021,61,60,98.40%,11,49,18.30%,81.70%
RSU 19,Sebasticook Valley Elementary School,All Students,4,2022,57,57,100.00%,10,47,17.50%,82.50%
RSU 19,Sebasticook Valley Elementary School,All Students,4,2023,62,62,100.00%,22,40,35.50%,64.50%
RSU 19,Sebasticook Valley Elementary School,All Students,4,2024,58,58,100.00%,17,41,29.30%,70.70%
RSU 19,Sebasticook Valley Elementary School,All Students,4,2025,63,63,100.00%,29,34,46.00%,54.00%
RSU 19,Somerset Elementary School,All Students,All Grades,2021,66,66,100.00%,17,49,25.80%,74.20%
RSU 19,Somerset Elementary School,All Students,All Grades,2022,66,65,98.50%,19,46,29.20%,70.80%
RSU 19,Somerset Elementary School,All Students,All Grades,2023,85,83,97.60%,40,43,48.20%,51.80%
RSU 19,Somerset Elementary School,All Students,All Grades,2024,79,77,97.50%,40,37,51.90%,48.10%
RSU 19,Somerset Elementary School,All Students,All Grades,2025,81,81,100.00%,36,45,44.40%,55.60%
RSU 19,Somerset Elementary School,All Students,3,2021,26,26,100.00%,6,20,23.10%,76.90%
RSU 19,Somerset Elementary School,All Students,3,2022,39,39,100.00%,14,25,35.90%,64.10%
RSU 19,Somerset Elementary School,All Students,3,2023,44,43,97.70%,23,20,53.50%,46.50%
RSU 19,Somerset Elementary School,All Students,3,2024,34,34,100.00%,11,23,32.40%,67.60%
RSU 19,Somerset Elementary School,All Students,3,2025,48,48,100.00%,23,25,47.90%,52.10%
RSU 19,Somerset Elementary School,All Students,4,2021,40,40,100.00%,11,29,27.50%,72.50%
RSU 19,Somerset Elementary School,All Students,4,2022,27,26,96.30%,5,21,19.20%,80.80%
RSU 19,Somerset Elementary School,All Students,4,2023,41,40,97.60%,17,23,42.50%,57.50%
RSU 19,Somerset Elementary School,All Students,4,2024,45,43,95.60%,29,14,67.40%,32.60%
RSU 19,Somerset Elementary School,All Students,4,2025,33,33,100.00%,13,20,39.40%,60.60%
RSU 20,All Schools,All Students,All Grades,2021,224,201,89.70%,37,164,18.40%,81.60%
RSU 20,All Schools,All Students,All Grades,2022,245,232,94.70%,52,180,22.40%,77.60%
RSU 20,All Schools,All Students,All Grades,2023,245,234,95.50%,99,135,42.30%,57.70%
RSU 20,All Schools,All Students,All Grades,2024,231,220,95.20%,103,117,46.80%,53.20%
RSU 20,All Schools,All Students,All Grades,2025,217,206,94.90%,87,119,42.20%,57.80%
RSU 20,All Schools,All Students,3,2021,39,39,100.00%,13,26,33.30%,66.70%
RSU 20,All Schools,All Students,3,2022,33,33,100.00%,8,25,24.20%,75.80%
RSU 20,All Schools,All Students,3,2023,31,31,100.00%,10,21,32.30%,67.70%
RSU 20,All Schools,All Students,3,2024,25,25,100.00%,6,19,24.00%,76.00%
RSU 20,All Schools,All Students,3,2025,28,28,100.00%,11,17,39.30%,60.70%
RSU 20,All Schools,All Students,4,2021,23,22,95.70%,7,15,31.80%,68.20%
RSU 20,All Schools,All Students,4,2022,45,45,100.00%,6,39,13.30%,86.70%
RSU 20,All Schools,All Students,4,2023,37,37,100.00%,14,23,37.80%,62.20%
RSU 20,All Schools,All Students,4,2024,33,33,100.00%,15,18,45.50%,54.50%
RSU 20,All Schools,All Students,4,2025,26,26,100.00%,5,21,19.20%,80.80%
RSU 20,All Schools,All Students,5,2021,35,33,94.30%,-1,-1,-1.00%,-1.00%
RSU 20,All Schools,All Students,5,2022,27,27,100.00%,5,22,18.50%,81.50%
RSU 20,All Schools,All Students,5,2023,44,43,97.70%,13,30,30.20%,69.80%
RSU 20,All Schools,All Students,5,2024,35,35,100.00%,10,25,28.60%,71.40%
RSU 20,All Schools,All Students,5,2025,32,32,100.00%,15,17,46.90%,53.10%
RSU 20,All Schools,All Students,6,2021,32,29,90.60%,5,24,17.20%,82.80%
RSU 20,All Schools,All Students,6,2022,40,38,95.00%,12,26,31.60%,68.40%
RSU 20,All Schools,All Students,6,2023,30,30,100.00%,21,9,70.00%,30.00%
RSU 20,All Schools,All Students,6,2024,45,45,100.00%,21,24,46.70%,53.30%
RSU 20,All Schools,All Students,6,2025,31,31,100.00%,8,23,25.80%,74.20%
RSU 20,All Schools,All Students,7,2021,27,24,88.90%,-1,-1,-1.00%,-1.00%
RSU 20,All Schools,All Students,7,2022,29,28,96.60%,-1,-1,-1.00%,-1.00%
RSU 20,All Schools,All Students,7,2023,35,33,94.30%,15,18,45.50%,54.50%
RSU 20,All Schools,All Students,7,2024,27,27,100.00%,19,8,70.40%,29.60%
RSU 20,All Schools,All Students,7,2025,45,42,93.30%,18,24,42.90%,57.10%
RSU 20,All Schools,All Students,8,2021,34,29,85.30%,-1,-1,-1.00%,-1.00%
RSU 20,All Schools,All Students,8,2022,28,24,85.70%,8,16,33.30%,66.70%
RSU 20,All Schools,All Students,8,2023,27,24,88.90%,9,15,37.50%,62.50%
RSU 20,All Schools,All Students,8,2024,35,29,82.90%,12,17,41.40%,58.60%
RSU 20,All Schools,All Students,8,2025,29,26,89.70%,16,10,61.50%,38.50%
RSU 20,All Schools,All Students,High School,2021,33,24,72.70%,-1,-1,-1.00%,-1.00%
RSU 20,All Schools,All Students,High School,2022,39,33,84.60%,8,25,24.20%,75.80%
RSU 20,All Schools,All Students,High School,2023,35,33,94.30%,15,18,45.50%,54.50%
RSU 20,All Schools,All Students,High School,2024,29,24,82.80%,18,6,75.00%,25.00%
RSU 20,All Schools,All Students,High School,2025,25,21,84.00%,14,7,66.70%,33.30%
RSU 20,Searsport District High School,All Students,All Grades,2021,33,24,72.70%,-1,-1,-1.00%,-1.00%
RSU 20,Searsport District High School,All Students,All Grades,2022,39,33,84.60%,8,25,24.20%,75.80%
RSU 20,Searsport District High School,All Students,All Grades,2023,35,33,94.30%,15,18,45.50%,54.50%
RSU 20,Searsport District High School,All Students,All Grades,2024,29,24,82.80%,18,6,75.00%,25.00%
RSU 20,Searsport District High School,All Students,All Grades,2025,25,21,84.00%,14,7,66.70%,33.30%
RSU 20,Searsport District High School,All Students,High School,2021,33,24,72.70%,-1,-1,-1.00%,-1.00%
RSU 20,Searsport District High School,All Students,High School,2022,39,33,84.60%,8,25,24.20%,75.80%
RSU 20,Searsport District High School,All Students,High School,2023,35,33,94.30%,15,18,45.50%,54.50%
RSU 20,Searsport District High School,All Students,High School,2024,29,24,82.80%,18,6,75.00%,25.00%
RSU 20,Searsport District High School,All Students,High School,2025,25,21,84.00%,14,7,66.70%,33.30%
RSU 20,Searsport District Middle School,All Students,All Grades,2021,93,82,88.20%,13,69,15.90%,84.10%
RSU 20,Searsport District Middle School,All Students,All Grades,2022,97,90,92.80%,22,68,24.40%,75.60%
RSU 20,Searsport District Middle School,All Students,All Grades,2023,92,87,94.60%,45,42,51.70%,48.30%
RSU 20,Searsport District Middle School,All Students,All Grades,2024,107,101,94.40%,52,49,51.50%,48.50%
RSU 20,Searsport District Middle School,All Students,All Grades,2025,105,99,94.30%,42,57,42.40%,57.60%
RSU 20,Searsport District Middle School,All Students,6,2021,32,29,90.60%,5,24,17.20%,82.80%
RSU 20,Searsport District Middle School,All Students,6,2022,40,38,95.00%,12,26,31.60%,68.40%
RSU 20,Searsport District Middle School,All Students,6,2023,30,30,100.00%,21,9,70.00%,30.00%
RSU 20,Searsport District Middle School,All Students,6,2024,45,45,100.00%,21,24,46.70%,53.30%
RSU 20,Searsport District Middle School,All Students,6,2025,31,31,100.00%,8,23,25.80%,74.20%
RSU 20,Searsport District Middle School,All Students,7,2021,27,24,88.90%,-1,-1,-1.00%,-1.00%
RSU 20,Searsport District Middle School,All Students,7,2022,29,28,96.60%,-1,-1,-1.00%,-1.00%
RSU 20,Searsport District Middle School,All Students,7,2023,35,33,94.30%,15,18,45.50%,54.50%
RSU 20,Searsport District Middle School,All Students,7,2024,27,27,100.00%,19,8,70.40%,29.60%
RSU 20,Searsport District Middle School,All Students,7,2025,45,42,93.30%,18,24,42.90%,57.10%
RSU 20,Searsport District Middle School,All Students,8,2021,34,29,85.30%,-1,-1,-1.00%,-1.00%
RSU 20,Searsport District Middle School,All Students,8,2022,28,24,85.70%,8,16,33.30%,66.70%
RSU 20,Searsport District Middle School,All Students,8,2023,27,24,88.90%,9,15,37.50%,62.50%
RSU 20,Searsport District Middle School,All Students,8,2024,35,29,82.90%,12,17,41.40%,58.60%
RSU 20,Searsport District Middle School,All Students,8,2025,29,26,89.70%,16,10,61.50%,38.50%
RSU 20,Searsport Elementary,All Students,All Grades,2021,98,95,96.90%,22,73,23.20%,76.80%
RSU 20,Searsport Elementary,All Students,All Grades,2022,105,105,100.00%,19,86,18.10%,81.90%
RSU 20,Searsport Elementary,All Students,All Grades,2023,112,111,99.10%,37,74,33.30%,66.70%
RSU 20,Searsport Elementary,All Students,All Grades,2024,93,93,100.00%,31,62,33.30%,66.70%
RSU 20,Searsport Elementary,All Students,All Grades,2025,86,86,100.00%,31,55,36.00%,64.00%
RSU 20,Searsport Elementary,All Students,3,2021,39,39,100.00%,13,26,33.30%,66.70%
RSU 20,Searsport Elementary,All Students,3,2022,33,33,100.00%,8,25,24.20%,75.80%
RSU 20,Searsport Elementary,All Students,3,2023,31,31,100.00%,10,21,32.30%,67.70%
RSU 20,Searsport Elementary,All Students,3,2024,25,25,100.00%,6,19,24.00%,76.00%
RSU 20,Searsport Elementary,All Students,3,2025,28,28,100.00%,11,17,39.30%,60.70%
RSU 20,Searsport Elementary,All Students,4,2021,23,22,95.70%,7,15,31.80%,68.20%
RSU 20,Searsport Elementary,All Students,4,2022,45,45,100.00%,6,39,13.30%,86.70%
RSU 20,Searsport Elementary,All Students,4,2023,37,37,100.00%,14,23,37.80%,62.20%
RSU 20,Searsport Elementary,All Students,4,2024,33,33,100.00%,15,18,45.50%,54.50%
RSU 20,Searsport Elementary,All Students,4,2025,26,26,100.00%,5,21,19.20%,80.80%
RSU 20,Searsport Elementary,All Students,5,2021,35,33,94.30%,-1,-1,-1.00%,-1.00%
RSU 20,Searsport Elementary,All Students,5,2022,27,27,100.00%,5,22,18.50%,81.50%
RSU 20,Searsport Elementary,All Students,5,2023,44,43,97.70%,13,30,30.20%,69.80%
RSU 20,Searsport Elementary,All Students,5,2024,35,35,100.00%,10,25,28.60%,71.40%
RSU 20,Searsport Elementary,All Students,5,2025,32,32,100.00%,15,17,46.90%,53.10%
RSU 21,All Schools,All Students,All Grades,2021,"1,301","1,152",88.50%,74,"1,078",6.40%,93.60%
RSU 21,All Schools,All Students,All Grades,2022,"1,267","1,214",95.80%,100,"1,114",8.20%,91.80%
RSU 21,All Schools,All Students,All Grades,2023,"1,236","1,202",97.20%,243,959,20.20%,79.80%
RSU 21,All Schools,All Students,All Grades,2024,"1,206","1,181",97.90%,211,970,17.90%,82.10%
RSU 21,All Schools,All Students,All Grades,2025,"1,193","1,172",98.20%,213,959,18.20%,81.80%
RSU 21,All Schools,All Students,3,2021,169,163,96.40%,12,151,7.40%,92.60%
RSU 21,All Schools,All Students,3,2022,161,160,99.40%,12,148,7.50%,92.50%
RSU 21,All Schools,All Students,3,2023,159,157,98.70%,47,110,29.90%,70.10%
RSU 21,All Schools,All Students,3,2024,156,155,99.40%,37,118,23.90%,76.10%
RSU 21,All Schools,All Students,3,2025,178,177,99.40%,30,147,16.90%,83.10%
RSU 21,All Schools,All Students,4,2021,157,155,98.70%,16,139,10.30%,89.70%
RSU 21,All Schools,All Students,4,2022,174,171,98.30%,15,156,8.80%,91.20%
RSU 21,All Schools,All Students,4,2023,163,160,98.20%,34,126,21.30%,78.80%
RSU 21,All Schools,All Students,4,2024,163,161,98.80%,32,129,19.90%,80.10%
RSU 21,All Schools,All Students,4,2025,153,152,99.30%,27,125,17.80%,82.20%
RSU 21,All Schools,All Students,5,2021,163,160,98.20%,9,151,5.60%,94.40%
RSU 21,All Schools,All Students,5,2022,162,161,99.40%,13,148,8.10%,91.90%
RSU 21,All Schools,All Students,5,2023,179,176,98.30%,30,146,17.00%,83.00%
RSU 21,All Schools,All Students,5,2024,161,160,99.40%,25,135,15.60%,84.40%
RSU 21,All Schools,All Students,5,2025,171,171,100.00%,28,143,16.40%,83.60%
RSU 21,All Schools,All Students,6,2021,156,142,91.00%,-1,-1,-1.00%,-1.00%
RSU 21,All Schools,All Students,6,2022,156,152,97.40%,8,144,5.30%,94.70%
RSU 21,All Schools,All Students,6,2023,159,155,97.50%,29,126,18.70%,81.30%
RSU 21,All Schools,All Students,6,2024,159,158,99.40%,12,146,7.60%,92.40%
RSU 21,All Schools,All Students,6,2025,149,148,99.30%,18,130,12.20%,87.80%
RSU 21,All Schools,All Students,7,2021,192,177,92.20%,7,170,4.00%,96.00%
RSU 21,All Schools,All Students,7,2022,162,153,94.40%,8,145,5.20%,94.80%
RSU 21,All Schools,All Students,7,2023,157,152,96.80%,24,128,15.80%,84.20%
RSU 21,All Schools,All Students,7,2024,160,154,96.30%,22,132,14.30%,85.70%
RSU 21,All Schools,All Students,7,2025,158,155,98.10%,22,133,14.20%,85.80%
RSU 21,All Schools,All Students,8,2021,197,180,91.40%,7,173,3.90%,96.10%
RSU 21,All Schools,All Students,8,2022,197,189,95.90%,8,181,4.20%,95.80%
RSU 21,All Schools,All Students,8,2023,161,155,96.30%,25,130,16.10%,83.90%
RSU 21,All Schools,All Students,8,2024,157,153,97.50%,29,124,19.00%,81.00%
RSU 21,All Schools,All Students,8,2025,165,162,98.20%,40,122,24.70%,75.30%
RSU 21,All Schools,All Students,High School,2021,177,149,84.20%,14,135,9.40%,90.60%
RSU 21,All Schools,All Students,High School,2022,182,158,86.80%,31,127,19.60%,80.40%
RSU 21,All Schools,All Students,High School,2023,189,182,96.30%,38,144,20.90%,79.10%
RSU 21,All Schools,All Students,High School,2024,181,172,95.00%,34,138,19.80%,80.20%
RSU 21,All Schools,All Students,High School,2025,153,144,94.10%,31,113,21.50%,78.50%
RSU 21,Kennebunk High School,All Students,All Grades,2021,178,148,83.10%,13,135,8.80%,91.20%
RSU 21,Kennebunk High School,All Students,All Grades,2022,182,158,86.80%,31,127,19.60%,80.40%
RSU 21,Kennebunk High School,All Students,All Grades,2023,189,182,96.30%,38,144,20.90%,79.10%
RSU 21,Kennebunk High School,All Students,All Grades,2024,181,172,95.00%,34,138,19.80%,80.20%
RSU 21,Kennebunk High School,All Students,All Grades,2025,153,144,94.10%,31,113,21.50%,78.50%
RSU 21,Kennebunk High School,All Students,High School,2021,177,149,84.20%,14,135,9.40%,90.60%
RSU 21,Kennebunk High School,All Students,High School,2022,182,158,86.80%,31,127,19.60%,80.40%
RSU 21,Kennebunk High School,All Students,High School,2023,189,182,96.30%,38,144,20.90%,79.10%
RSU 21,Kennebunk High School,All Students,High School,2024,181,172,95.00%,34,138,19.80%,80.20%
RSU 21,Kennebunk High School,All Students,High School,2025,153,144,94.10%,31,113,21.50%,78.50%
RSU 21,Kennebunkport Consolidated Sch,All Students,All Grades,2021,71,69,97.20%,8,61,11.60%,88.40%
RSU 21,Kennebunkport Consolidated Sch,All Students,All Grades,2022,69,67,97.10%,9,58,13.40%,86.60%
RSU 21,Kennebunkport Consolidated Sch,All Students,All Grades,2023,75,74,98.70%,20,54,27.00%,73.00%
RSU 21,Kennebunkport Consolidated Sch,All Students,All Grades,2024,82,82,100.00%,13,69,15.90%,84.10%
RSU 21,Kennebunkport Consolidated Sch,All Students,All Grades,2025,86,85,98.80%,7,78,8.20%,91.80%
RSU 21,Kennebunkport Consolidated Sch,All Students,3,2021,20,19,95.00%,5,14,26.30%,73.70%
RSU 21,Kennebunkport Consolidated Sch,All Students,3,2022,21,20,95.20%,-1,-1,-1.00%,-1.00%
RSU 21,Kennebunkport Consolidated Sch,All Students,3,2023,29,28,96.60%,7,21,25.00%,75.00%
RSU 21,Kennebunkport Consolidated Sch,All Students,3,2024,34,34,100.00%,5,29,14.70%,85.30%
RSU 21,Kennebunkport Consolidated Sch,All Students,3,2025,32,32,100.00%,-1,-1,-1.00%,-1.00%
RSU 21,Kennebunkport Consolidated Sch,All Students,4,2021,27,27,100.00%,-1,-1,-1.00%,-1.00%
RSU 21,Kennebunkport Consolidated Sch,All Students,4,2022,21,20,95.20%,-1,-1,-1.00%,-1.00%
RSU 21,Kennebunkport Consolidated Sch,All Students,4,2023,25,25,100.00%,6,19,24.00%,76.00%
RSU 21,Kennebunkport Consolidated Sch,All Students,4,2024,26,26,100.00%,-1,-1,-1.00%,-1.00%
