district,school,students,grades,year,students_required_to_test_english,students_tested_english,pct_students_tested_english,students_below_expectations_english,students_at_above_expectations_english,pct_below_expectations_english,pct_at_above_expectations_english
Acton Public Schools,Acton Elementary School,All Students,4,2023,20,20,100.0%,-1,-1,-1.0%,-1.0%
Acton Public Schools,Acton Elementary School,All Students,4,2024,24,24,100.0%,8,16,33.3%,66.7%
Acton Public Schools,Acton Elementary School,All Students,4,2025,28,28,100.0%,10,18,35.7%,64.3%
Acton Public Schools,Acton Elementary School,All Students,5,2021,22,22,100.0%,-1,-1,-1.0%,-1.0%
Acton Public Schools,Acton Elementary School,All Students,5,2022,31,31,100.0%,7,24,22.6%,77.4%
Acton Public Schools,Acton Elementary School,All Students,5,2023,27,27,100.0%,-1,-1,-1.0%,-1.0%
Acton Public Schools,Acton Elementary School,All Students,5,2024,19,19,100.0%,5,14,26.3%,73.7%
Acton Public Schools,Acton Elementary School,All Students,5,2025,21,21,100.0%,9,12,42.9%,57.1%
Acton Public Schools,Acton Elementary School,All Students,6,2021,22,22,100.0%,-1,-1,-1.0%,-1.0%
Acton Public Schools,Acton Elementary School,All Students,6,2022,23,23,100.0%,-1,-1,-1.0%,-1.0%
Acton Public Schools,Acton Elementary School,All Students,6,2023,33,33,100.0%,12,21,36.4%,63.6%
Acton Public Schools,Acton Elementary School,All Students,6,2024,25,25,100.0%,7,18,28.0%,72.0%
Acton Public Schools,Acton Elementary School,All Students,6,2025,20,20,100.0%,8,12,40.0%,60.0%
Acton Public Schools,Acton Elementary School,All Students,7,2021,12,12,100.0%,-1,-1,-1.0%,-1.0%
Acton Public Schools,Acton Elementary School,All Students,7,2022,21,21,100.0%,-1,-1,-1.0%,-1.0%
Acton Public Schools,Acton Elementary School,All Students,7,2023,21,21,100.0%,7,14,33.3%,66.7%
Acton Public Schools,Acton Elementary School,All Students,7,2024,31,31,100.0%,11,20,35.5%,64.5%
Acton Public Schools,Acton Elementary School,All Students,7,2025,22,21,95.5%,14,7,66.7%,33.3%
Acton Public Schools,Acton Elementary School,All Students,8,2021,26,26,100.0%,0,26,0.0%,100.0%
Acton Public Schools,Acton Elementary School,All Students,8,2022,12,12,100.0%,-1,-1,-1.0%,-1.0%
Acton Public Schools,Acton Elementary School,All Students,8,2023,23,23,100.0%,7,16,30.4%,69.6%
Acton Public Schools,Acton Elementary School,All Students,8,2024,19,19,100.0%,-1,-1,-1.0%,-1.0%
Acton Public Schools,Acton Elementary School,All Students,8,2025,32,32,100.0%,19,13,59.4%,40.6%
Airline CSD,All Schools,All Students,All Grades,2021,38,36,94.7%,6,30,16.7%,83.3%
Airline CSD,All Schools,All Students,All Grades,2022,36,33,91.7%,-1,-1,-1.0%,-1.0%
Airline CSD,All Schools,All Students,All Grades,2023,33,31,93.9%,15,16,48.4%,51.6%
Airline CSD,All Schools,All Students,All Grades,2024,24,19,79.2%,5,14,26.3%,73.7%
Airline CSD,All Schools,All Students,All Grades,2025,21,21,100.0%,8,13,38.1%,61.9%
Airline CSD,All Schools,All Students,3,2021,5,5,100.0%,0,5,0.0%,100.0%
Airline CSD,All Schools,All Students,3,2022,5,5,100.0%,0,5,0.0%,100.0%
Airline CSD,All Schools,All Students,3,2023,2,2,100.0%,-1,-1,-1.0%,-1.0%
Airline CSD,All Schools,All Students,3,2024,3,3,100.0%,-1,-1,-1.0%,-1.0%
Airline CSD,All Schools,All Students,3,2025,3,3,100.0%,-1,-1,-1.0%,-1.0%
Airline CSD,All Schools,All Students,4,2021,8,8,100.0%,-1,-1,-1.0%,-1.0%
Airline CSD,All Schools,All Students,4,2022,4,4,100.0%,-1,-1,-1.0%,-1.0%
Airline CSD,All Schools,All Students,4,2023,6,6,100.0%,-1,-1,-1.0%,-1.0%
Airline CSD,All Schools,All Students,4,2024,2,1,50.0%,-1,-1,-1.0%,-1.0%
Airline CSD,All Schools,All Students,4,2025,3,3,100.0%,-1,-1,-1.0%,-1.0%
Airline CSD,All Schools,All Students,5,2021,4,4,100.0%,-1,-1,-1.0%,-1.0%
Airline CSD,All Schools,All Students,5,2022,10,10,100.0%,0,10,0.0%,100.0%
Airline CSD,All Schools,All Students,5,2023,3,3,100.0%,-1,-1,-1.0%,-1.0%
Airline CSD,All Schools,All Students,5,2024,5,3,60.0%,-1,-1,-1.0%,-1.0%
Airline CSD,All Schools,All Students,5,2025,1,1,100.0%,-1,-1,-1.0%,-1.0%
Airline CSD,All Schools,All Students,6,2021,4,4,100.0%,-1,-1,-1.0%,-1.0%
Airline CSD,All Schools,All Students,6,2022,2,2,100.0%,-1,-1,-1.0%,-1.0%
Airline CSD,All Schools,All Students,6,2023,11,11,100.0%,-1,-1,-1.0%,-1.0%
Airline CSD,All Schools,All Students,6,2024,1,1,100.0%,-1,-1,-1.0%,-1.0%
Airline CSD,All Schools,All Students,6,2025,4,4,100.0%,-1,-1,-1.0%,-1.0%
Airline CSD,All Schools,All Students,7,2021,5,5,100.0%,-1,-1,-1.0%,-1.0%
Airline CSD,All Schools,All Students,7,2022,5,5,100.0%,0,5,0.0%,100.0%
Airline CSD,All Schools,All Students,7,2023,3,3,100.0%,-1,-1,-1.0%,-1.0%
Airline CSD,All Schools,All Students,7,2024,6,5,83.3%,-1,-1,-1.0%,-1.0%
Airline CSD,All Schools,All Students,7,2025,2,2,100.0%,-1,-1,-1.0%,-1.0%
Airline CSD,All Schools,All Students,8,2021,7,7,100.0%,0,7,0.0%,100.0%
Airline CSD,All Schools,All Students,8,2022,5,4,80.0%,-1,-1,-1.0%,-1.0%
Airline CSD,All Schools,All Students,8,2023,5,5,100.0%,-1,-1,-1.0%,-1.0%
Airline CSD,All Schools,All Students,8,2024,3,2,66.7%,-1,-1,-1.0%,-1.0%
Airline CSD,All Schools,All Students,8,2025,6,6,100.0%,-1,-1,-1.0%,-1.0%
Airline CSD,Airline Community School,All Students,All Grades,2021,33,33,100.0%,5,28,15.2%,84.8%
Airline CSD,Airline Community School,All Students,All Grades,2022,31,30,96.8%,-1,-1,-1.0%,-1.0%
Airline CSD,Airline Community School,All Students,All Grades,2023,30,30,100.0%,14,16,46.7%,53.3%
Airline CSD,Airline Community School,All Students,All Grades,2024,20,15,75.0%,-1,-1,-1.0%,-1.0%
Airline CSD,Airline Community School,All Students,All Grades,2025,19,19,100.0%,6,13,31.6%,68.4%
Airline CSD,Airline Community School,All Students,3,2021,5,5,100.0%,0,5,0.0%,100.0%
Airline CSD,Airline Community School,All Students,3,2022,5,5,100.0%,0,5,0.0%,100.0%
Airline CSD,Airline Community School,All Students,3,2023,2,2,100.0%,-1,-1,-1.0%,-1.0%
Airline CSD,Airline Community School,All Students,3,2024,3,3,100.0%,-1,-1,-1.0%,-1.0%
Airline CSD,Airline Community School,All Students,3,2025,3,3,100.0%,-1,-1,-1.0%,-1.0%
Airline CSD,Airline Community School,All Students,4,2021,8,8,100.0%,-1,-1,-1.0%,-1.0%
Airline CSD,Airline Community School,All Students,4,2022,4,4,100.0%,-1,-1,-1.0%,-1.0%
Airline CSD,Airline Community School,All Students,4,2023,6,6,100.0%,-1,-1,-1.0%,-1.0%
Airline CSD,Airline Community School,All Students,4,2024,2,1,50.0%,-1,-1,-1.0%,-1.0%
Airline CSD,Airline Community School,All Students,4,2025,3,3,100.0%,-1,-1,-1.0%,-1.0%
Airline CSD,Airline Community School,All Students,5,2021,4,4,100.0%,-1,-1,-1.0%,-1.0%
Airline CSD,Airline Community School,All Students,5,2022,10,10,100.0%,0,10,0.0%,100.0%
Airline CSD,Airline Community School,All Students,5,2023,3,3,100.0%,-1,-1,-1.0%,-1.0%
Airline CSD,Airline Community School,All Students,5,2024,5,3,60.0%,-1,-1,-1.0%,-1.0%
Airline CSD,Airline Community School,All Students,5,2025,1,1,100.0%,-1,-1,-1.0%,-1.0%
Airline CSD,Airline Community School,All Students,6,2021,4,4,100.0%,-1,-1,-1.0%,-1.0%
