district,district_id,school,school_id,year,grade_span,ncesid,school_type,county,address,city
RSU 11/MSAD 11,617,Pittston-Randolph Consolidated School,623,2022-2023,KG-05,231059000332,Public,Kennebec,1023 Pittston School Street,Pittston
RSU 11/MSAD 11,617,Pittston-Randolph Consolidated School,623,2021-2022,KG-05,231059000332,Public,Kennebec,1023 Pittston School Street,Pittston
RSU 11/MSAD 11,617,Pittston-Randolph Consolidated School,623,2020-2021,KG-05,231059000332,Public,Kennebec,1023 Pittston School Street,Pittston
RSU 11/MSAD 11,617,Pittston-Randolph Consolidated School,623,2019-2020,KG-05,231059000332,Public,Kennebec,1023 Pittston School Street,Pittston
RSU 11/MSAD 11,617,Pittston-Randolph Consolidated School,623,2018-2019,KG-05,231059000332,Public,Kennebec,1023 Pittston School Street,Pittston
RSU 11/MSAD 11,617,Pittston-Randolph Consolidated School,623,2017-2018,KG-05,231059000332,Public,Kennebec,1023 Pittston School Street,Pittston
RSU 11/MSAD 11,617,River View Community School,622,2024-2025,03-05,231059000024,Public,Kennebec,821 River Road,South Gardiner
RSU 11/MSAD 11,617,River View Community School,622,2023-2024,03-05,231059000024,Public,Kennebec,821 River Road,South Gardiner
RSU 11/MSAD 11,617,River View Community School,622,2022-2023,03-05,231059000024,Public,Kennebec,821 River Road,South Gardiner
RSU 11/MSAD 11,617,River View Community School,622,2021-2022,03-05,231059000024,Public,Kennebec,821 River Road,South Gardiner
RSU 11/MSAD 11,617,River View Community School,622,2020-2021,03-05,231059000024,Public,Kennebec,821 River Road,South Gardiner
RSU 11/MSAD 11,617,River View Community School,622,2019-2020,03-05,231059000024,Public,Kennebec,821 River Road,South Gardiner
RSU 11/MSAD 11,617,River View Community School,622,2018-2019,03-05,231059000024,Public,Kennebec,821 River Road,South Gardiner
RSU 11/MSAD 11,617,River View Community School,622,2017-2018,03-05,231059000024,Public,Kennebec,821 River Road,South Gardiner
RSU 11/MSAD 11,617,Teresa C Hamlin Elem School,624,2017-2018,KG-05,231059000335,,Kennebec,2 School Street,Randolph
RSU 12,1451,Chelsea Elementary School,133,2024-2025,PK-08,231478000120,Public,Kennebec,566 Togus Road,Chelsea
RSU 12,1451,Chelsea Elementary School,133,2023-2024,PK-08,231478000120,Public,Kennebec,566 Togus Road,Chelsea
RSU 12,1451,Chelsea Elementary School,133,2022-2023,PK-08,231478000120,Public,Kennebec,566 Togus Road,Chelsea
RSU 12,1451,Chelsea Elementary School,133,2021-2022,PK-08,231478000120,Public,Kennebec,566 Togus Road,Chelsea
RSU 12,1451,Chelsea Elementary School,133,2020-2021,PK-08,231478000120,Public,Kennebec,566 Togus Road,Chelsea
RSU 12,1451,Chelsea Elementary School,133,2019-2020,PK-08,231478000120,Public,Kennebec,566 Togus Road,Chelsea
RSU 12,1451,Chelsea Elementary School,133,2018-2019,PR-08,231478000120,Public,Kennebec,566 Togus Road,Chelsea
RSU 12,1451,Chelsea Elementary School,133,2017-2018,PR-08,231478000120,Public,Kennebec,566 Togus Road,Chelsea
RSU 12,1451,Palermo Consolidated School,348,2024-2025,KG-08,231478000258,Public,Waldo,501 Route 3,Palermo
RSU 12,1451,Palermo Consolidated School,348,2023-2024,KG-08,231478000258,Public,Waldo,501 Route 3,Palermo
RSU 12,1451,Palermo Consolidated School,348,2022-2023,KG-08,231478000258,Public,Waldo,501 Route 3,Palermo
RSU 12,1451,Palermo Consolidated School,348,2021-2022,KG-08,231478000258,Public,Waldo,501 Route 3,Palermo
RSU 12,1451,Palermo Consolidated School,348,2020-2021,KG-08,231478000258,Public,Waldo,501 Route 3,Palermo
RSU 12,1451,Palermo Consolidated School,348,2019-2020,KG-08,231478000258,Public,Waldo,501 Route 3,Palermo
RSU 12,1451,Palermo Consolidated School,348,2018-2019,KG-08,231478000258,Public,Waldo,501 Route 3,Palermo
RSU 12,1451,Palermo Consolidated School,348,2017-2018,KG-08,231478000258,Public,Waldo,501 Route 3,Palermo
RSU 12,1451,Somerville Elementary School,439,2024-2025,PK-PK,231478000571,Public,Lincoln,665 Patricktown Rd,Somerville
RSU 12,1451,Somerville Elementary School,439,2023-2024,PK-PK,231478000571,Public,Lincoln,665 Patricktown Rd,Somerville
RSU 12,1451,Somerville Elementary School,439,2022-2023,PK-PK,231478000571,Public,Lincoln,665 Patricktown Rd Suite 2,Somerville
RSU 12,1451,Somerville Elementary School,439,2021-2022,PK-PK,231478000571,Public,Lincoln,665 Patricktown Rd Suite 2,Somerville
RSU 12,1451,Somerville Elementary School,439,2020-2021,PK-PK,231478000571,Public,Lincoln,665 Patricktown Rd Suite 2,Somerville
RSU 12,1451,Somerville Elementary School,439,2019-2020,PK-PK,231478000571,Public,Lincoln,665 Patricktown Rd Suite 2,Somerville
RSU 12,1451,Somerville Elementary School,439,2018-2019,PR-PK,231478000571,Public,Lincoln,665 Patricktown Rd Suite 2,Somerville
RSU 12,1451,Somerville Elementary School,439,2017-2018,PR-PK,231478000571,Public,Lincoln,665 Patricktown Rd Suite 2,Somerville
RSU 12,1451,Whitefield Elementary School,506,2024-2025,PK-08,231478000625,Public,Lincoln,164 Grand Army Road,Whitefield
RSU 12,1451,Whitefield Elementary School,506,2023-2024,PK-08,231478000625,Public,Lincoln,164 Grand Army Road,Whitefield
RSU 12,1451,Whitefield Elementary School,506,2022-2023,PK-08,231478000625,Public,Lincoln,164 Grand Army Road,Whitefield
RSU 12,1451,Whitefield Elementary School,506,2021-2022,PK-08,231478000625,Public,Lincoln,164 Grand Army Road,Whitefield
RSU 12,1451,Whitefield Elementary School,506,2020-2021,PK-08,231478000625,Public,Lincoln,164 Grand Army Road,Whitefield
RSU 12,1451,Whitefield Elementary School,506,2019-2020,PK-08,231478000625,Public,Lincoln,164 Grand Army Road,Whitefield
RSU 12,1451,Whitefield Elementary School,506,2018-2019,PR-08,231478000625,Public,Lincoln,164 Grand Army Road,Whitefield
RSU 12,1451,Whitefield Elementary School,506,2017-2018,PR-08,231478000625,Public,Lincoln,164 Grand Army Road,Whitefield
RSU 12,1451,Windsor Elementary School,517,2024-2025,KG-08,231478000633,Public,Kennebec,366 Ridge Road,Windsor
RSU 12,1451,Windsor Elementary School,517,2023-2024,KG-08,231478000633,Public,Kennebec,366 Ridge Road,Windsor
RSU 12,1451,Windsor Elementary School,517,2022-2023,PK-08,231478000633,Public,Kennebec,366 Ridge Road,Windsor
RSU 12,1451,Windsor Elementary School,517,2021-2022,PK-08,231478000633,Public,Kennebec,366 Ridge Road,Windsor
RSU 12,1451,Windsor Elementary School,517,2020-2021,PK-08,231478000633,Public,Kennebec,366 Ridge Road,Windsor
RSU 12,1451,Windsor Elementary School,517,2019-2020,PK-08,231478000633,Public,Kennebec,366 Ridge Road,Windsor
RSU 12,1451,Windsor Elementary School,517,2018-2019,PR-08,231478000633,Public,Kennebec,366 Ridge Road,Windsor
RSU 12,1451,Windsor Elementary School,517,2017-2018,PR-08,231478000633,Public,Kennebec,366 Ridge Road,Windsor
RSU 13,1452,Ash Point Community School,2013,2024-2025,PK-05,231478723176,Public,Knox,54 Ash Point Drive,Owls Head
RSU 13,1452,Ash Point Community School,2013,2023-2024,PK-05,231478723176,Public,Knox,54 Ash Point Drive,Owls Head
RSU 13,1452,Ash Point Community School,2013,2022-2023,PK-05,231478723176,Public,Knox,54 Ash Point Drive,Owls Head
RSU 13,1452,Ash Point Community School,2013,2021-2022,PK-05,231478723176,Public,Knox,54 Ash Point Drive,Owls Head
RSU 13,1452,Ash Point Community School,2013,2020-2021,PK-05,231478723176,Public,Knox,54 Ash Point Drive,Owls Head
RSU 13,1452,Ash Point Community School,2013,2019-2020,PK-05,231478723176,Public,Knox,54 Ash Point Drive,Owls Head
RSU 13,1452,Ash Point Community School,2013,2018-2019,PR-05,231478723176,Public,Knox,54 Ash Point Drive,Owls Head
RSU 13,1452,Cushing Community School,834,2024-2025,KG-05,231478700707,Public,Knox,54 Cross Road,Cushing
RSU 13,1452,Cushing Community School,834,2023-2024,KG-05,231478700707,Public,Knox,54 Cross Road,Cushing
RSU 13,1452,Cushing Community School,834,2022-2023,KG-05,231478700707,Public,Knox,54 Cross Road,Cushing
RSU 13,1452,Cushing Community School,834,2021-2022,KG-05,231478700707,Public,Knox,54 Cross Road,Cushing
RSU 13,1452,Cushing Community School,834,2020-2021,KG-05,231478700707,Public,Knox,54 Cross Road,Cushing
RSU 13,1452,Cushing Community School,834,2019-2020,KG-05,231478700707,Public,Knox,54 Cross Road,Cushing
RSU 13,1452,Cushing Community School,834,2018-2019,KG-05,231478700707,Public,Knox,54 Cross Road,Cushing
RSU 13,1452,Cushing Community School,834,2017-2018,KG-05,231478700707,Public,Knox,54 Cross Road,Cushing
RSU 13,1452,Gilford Butler School,586,2017-2018,KG-02,231478700524,,Knox,54 Spruce Head Rd,South Thomaston
RSU 13,1452,Oceanside High School,1768,2024-2025,09-12,231478723156,Public,Knox,400 Broadway,Rockland
RSU 13,1452,Oceanside High School,1768,2023-2024,09-12,231478723156,Public,Knox,400 Broadway,Rockland
RSU 13,1452,Oceanside High School,1768,2022-2023,09-12,231478723156,Public,Knox,400 Broadway,Rockland
RSU 13,1452,Oceanside High School,1768,2021-2022,09-12,231478723156,Public,Knox,400 Broadway,Rockland
RSU 13,1452,Oceanside High School,1768,2020-2021,09-12,231478723156,Public,Knox,400 Broadway,Rockland
RSU 13,1452,Oceanside High School,1768,2019-2020,09-12,231478723156,Public,Knox,400 Broadway,Rockland
RSU 13,1452,Oceanside High School,1768,2018-2019,09-12,231478723156,Public,Knox,400 Broadway,Rockland
RSU 13,1452,Oceanside High School,1768,2017-2018,09-12,231478723156,Public,Knox,400 Broadway,Rockland
RSU 13,1452,Oceanside Middle School,1767,2024-2025,06-08,231478723154,Public,Knox,47 Valley Street,Thomaston
RSU 13,1452,Oceanside Middle School,1767,2023-2024,06-08,231478723154,Public,Knox,47 Valley Street,Thomaston
RSU 13,1452,Oceanside Middle School,1767,2022-2023,06-08,231478723154,Public,Knox,47 Valley Street,Thomaston
RSU 13,1452,Oceanside Middle School,1767,2021-2022,06-08,231478723154,Public,Knox,47 Valley Street,Thomaston
RSU 13,1452,Oceanside Middle School,1767,2020-2021,06-08,231478723154,Public,Knox,47 Valley Street,Thomaston
RSU 13,1452,Oceanside Middle School,1767,2019-2020,06-08,231478723154,Public,Knox,47 Valley Street,Thomaston
RSU 13,1452,Oceanside Middle School,1767,2018-2019,06-08,231478723154,Public,Knox,47 Valley Street,Thomaston
RSU 13,1452,Oceanside Middle School,1767,2017-2018,06-08,231478723154,Public,Knox,47 Valley Street,Thomaston
RSU 13,1452,Owls Head Central School,581,2017-2018,03-05,231478700527,,Knox,54 Ash Point Drive,Owls Head
RSU 13,1452,South School,583,2024-2025,PK-05,231478700530,Public,Knox,30 Broadway,Rockland
RSU 13,1452,South School,583,2023-2024,PK-05,231478700530,Public,Knox,30 Broadway,Rockland
RSU 13,1452,South School,583,2022-2023,PK-05,231478700530,Public,Knox,30 Broadway,Rockland
RSU 13,1452,South School,583,2021-2022,PK-05,231478700530,Public,Knox,30 Broadway,Rockland
RSU 13,1452,South School,583,2020-2021,PK-05,231478700530,Public,Knox,30 Broadway,Rockland
RSU 13,1452,South School,583,2019-2020,PK-05,231478700530,Public,Knox,30 Broadway,Rockland
RSU 13,1452,South School,583,2018-2019,PR-05,231478700530,Public,Knox,30 Broadway,Rockland
RSU 13,1452,South School,583,2017-2018,PR-05,231478700530,Public,Knox,30 Broadway,Rockland
RSU 13,1452,Thomaston Grammar School,838,2024-2025,PK-05,231478723157,Public,Knox,65 Watts Lane,Thomaston
RSU 13,1452,Thomaston Grammar School,838,2023-2024,KG-05,231478723157,Public,Knox,65 Watts Lane,Thomaston
RSU 13,1452,Thomaston Grammar School,838,2022-2023,KG-05,231478723157,Public,Knox,65 Watts Lane,Thomaston
RSU 13,1452,Thomaston Grammar School,838,2021-2022,KG-05,231478723157,Public,Knox,65 Watts Lane,Thomaston
RSU 13,1452,Thomaston Grammar School,838,2020-2021,KG-05,231478723157,Public,Knox,65 Watts Lane,Thomaston
RSU 13,1452,Thomaston Grammar School,838,2019-2020,KG-05,231478723157,Public,Knox,65 Watts Lane,Thomaston
RSU 13,1452,Thomaston Grammar School,838,2018-2019,KG-05,231478723157,Public,Knox,65 Watts Lane,Thomaston
RSU 13,1452,Thomaston Grammar School,838,2017-2018,KG-05,231478723157,Public,Knox,65 Watts Lane,Thomaston
RSU 14,1455,Jordan-Small Middle School,395,2024-2025,05-08,231479300292,Public,Cumberland,423 Webb's Mills Road,Raymond
RSU 14,1455,Jordan-Small Middle School,395,2023-2024,05-08,231479300292,Public,Cumberland,423 Webb's Mills Road,Raymond
RSU 14,1455,Jordan-Small Middle School,395,2022-2023,05-08,231479300292,Public,Cumberland,423 Webb's Mills Road,Raymond
RSU 14,1455,Jordan-Small Middle School,395,2021-2022,05-08,231479300292,Public,Cumberland,423 Webb's Mills Road,Raymond
RSU 14,1455,Jordan-Small Middle School,395,2020-2021,05-08,231479300292,Public,Cumberland,423 Webb's Mills Road,Raymond
RSU 14,1455,Jordan-Small Middle School,395,2019-2020,05-08,231479300292,Public,Cumberland,423 Webb's Mills Road,Raymond
RSU 14,1455,Jordan-Small Middle School,395,2018-2019,05-08,231479300292,Public,Cumberland,423 Webb's Mills Road,Raymond
RSU 14,1455,Jordan-Small Middle School,395,2017-2018,05-08,231479300292,Public,Cumberland,423 Webb's Mills Road,Raymond
RSU 14,1455,Manchester School,512,2024-2025,04-05,231479300631,Public,Cumberland,709 Roosevelt Trail,Windham
RSU 14,1455,Manchester School,512,2023-2024,04-05,231479300631,Public,Cumberland,709 Roosevelt Trail,Windham
RSU 14,1455,Manchester School,512,2022-2023,04-05,231479300631,Public,Cumberland,709 Roosevelt Trail,Windham
RSU 14,1455,Manchester School,512,2021-2022,04-05,231479300631,Public,Cumberland,709 Roosevelt Trail,Windham
RSU 14,1455,Manchester School,512,2020-2021,04-05,231479300631,Public,Cumberland,709 Roosevelt Trail,Windham
RSU 14,1455,Manchester School,512,2019-2020,04-05,231479300631,Public,Cumberland,709 Roosevelt Trail,Windham
RSU 14,1455,Manchester School,512,2018-2019,04-05,231479300631,Public,Cumberland,709 Roosevelt Trail,Windham
RSU 14,1455,Manchester School,512,2017-2018,04-05,231479300631,Public,Cumberland,709 Roosevelt Trail,Windham
RSU 14,1455,Raymond Elementary School,396,2024-2025,PK-04,231479300503,Public,Cumberland,434 Webbs Mills Road,Raymond
RSU 14,1455,Raymond Elementary School,396,2023-2024,PK-04,231479300503,Public,Cumberland,434 Webbs Mills Road,Raymond
RSU 14,1455,Raymond Elementary School,396,2022-2023,PK-04,231479300503,Public,Cumberland,434 Webbs Mills Road,Raymond
RSU 14,1455,Raymond Elementary School,396,2021-2022,PK-04,231479300503,Public,Cumberland,434 Webbs Mills Road,Raymond
RSU 14,1455,Raymond Elementary School,396,2020-2021,PK-04,231479300503,Public,Cumberland,434 Webbs Mills Road,Raymond
RSU 14,1455,Raymond Elementary School,396,2019-2020,KG-04,231479300503,Public,Cumberland,434 Webbs Mills Road,Raymond
RSU 14,1455,Raymond Elementary School,396,2018-2019,KG-04,231479300503,Public,Cumberland,434 Webbs Mills Road,Raymond
RSU 14,1455,Raymond Elementary School,396,2017-2018,KG-04,231479300503,Public,Cumberland,434 Webbs Mills Road,Raymond
RSU 14,1455,Windham High School,511,2024-2025,09-12,231479300632,Public,Cumberland,406 Gray Road,Windham
RSU 14,1455,Windham High School,511,2023-2024,09-12,231479300632,Public,Cumberland,406 Gray Road,Windham
RSU 14,1455,Windham High School,511,2022-2023,09-12,231479300632,Public,Cumberland,406 Gray Road,Windham
RSU 14,1455,Windham High School,511,2021-2022,09-12,231479300632,Public,Cumberland,406 Gray Road,Windham
RSU 14,1455,Windham High School,511,2020-2021,09-12,231479300632,Public,Cumberland,406 Gray Road,Windham
RSU 14,1455,Windham High School,511,2019-2020,09-12,231479300632,Public,Cumberland,406 Gray Road,Windham
RSU 14,1455,Windham High School,511,2018-2019,09-12,231479300632,Public,Cumberland,406 Gray Road,Windham
RSU 14,1455,Windham High School,511,2017-2018,09-12,231479300632,Public,Cumberland,406 Gray Road,Windham
RSU 14,1455,Windham Middle School,513,2024-2025,06-08,231479300629,Public,Cumberland,408 Gray Road,Windham
RSU 14,1455,Windham Middle School,513,2023-2024,06-08,231479300629,Public,Cumberland,408 Gray Road,Windham
RSU 14,1455,Windham Middle School,513,2022-2023,06-08,231479300629,Public,Cumberland,408 Gray Road,Windham
RSU 14,1455,Windham Middle School,513,2021-2022,06-08,231479300629,Public,Cumberland,408 Gray Road,Windham
RSU 14,1455,Windham Middle School,513,2020-2021,06-08,231479300629,Public,Cumberland,408 Gray Road,Windham
RSU 14,1455,Windham Middle School,513,2019-2020,06-08,231479300629,Public,Cumberland,408 Gray Road,Windham
RSU 14,1455,Windham Middle School,513,2018-2019,06-08,231479300629,Public,Cumberland,408 Gray Road,Windham
RSU 14,1455,Windham Middle School,513,2017-2018,06-08,231479300629,Public,Cumberland,408 Gray Road,Windham
RSU 14,1455,Windham Primary School,514,2024-2025,KG-03,231479301034,Public,Cumberland,404 Gray Road,Windham
RSU 14,1455,Windham Primary School,514,2023-2024,KG-03,231479301034,Public,Cumberland,404 Gray Road,Windham
RSU 14,1455,Windham Primary School,514,2022-2023,KG-03,231479301034,Public,Cumberland,404 Gray Road,Windham
RSU 14,1455,Windham Primary School,514,2021-2022,KG-03,231479301034,Public,Cumberland,404 Gray Road,Windham
RSU 14,1455,Windham Primary School,514,2020-2021,KG-03,231479301034,Public,Cumberland,404 Gray Road,Windham
RSU 14,1455,Windham Primary School,514,2019-2020,KG-03,231479301034,Public,Cumberland,404 Gray Road,Windham
RSU 14,1455,Windham Primary School,514,2018-2019,KG-03,231479301034,Public,Cumberland,404 Gray Road,Windham
RSU 14,1455,Windham Primary School,514,2017-2018,KG-03,231479301034,Public,Cumberland,404 Gray Road,Windham
RSU 15/MSAD 15,635,Burchard A Dunn School,640,2024-2025,PK-04,231071000420,Public,Cumberland,667 Morse Road,New Gloucester
RSU 15/MSAD 15,635,Burchard A Dunn School,640,2023-2024,PK-04,231071000420,Public,Cumberland,667 Morse Road,New Gloucester
RSU 15/MSAD 15,635,Burchard A Dunn School,640,2022-2023,PK-04,231071000420,Public,Cumberland,667 Morse Road,New Gloucester
RSU 15/MSAD 15,635,Burchard A Dunn School,640,2021-2022,PK-04,231071000420,Public,Cumberland,667 Morse Road,New Gloucester
RSU 15/MSAD 15,635,Burchard A Dunn School,640,2020-2021,PK-04,231071000420,Public,Cumberland,667 Morse Road,New Gloucester
RSU 15/MSAD 15,635,Burchard A Dunn School,640,2019-2020,PK-04,231071000420,Public,Cumberland,667 Morse Road,New Gloucester
RSU 15/MSAD 15,635,Burchard A Dunn School,640,2018-2019,PR-04,231071000420,Public,Cumberland,667 Morse Road,New Gloucester
RSU 15/MSAD 15,635,Burchard A Dunn School,640,2017-2018,PR-04,231071000420,Public,Cumberland,667 Morse Road,New Gloucester
RSU 15/MSAD 15,635,Gray-New Gloucester High School,637,2024-2025,09-12,231071000346,Public,Cumberland,10 Libby Hill Road,Gray
RSU 15/MSAD 15,635,Gray-New Gloucester High School,637,2023-2024,09-12,231071000346,Public,Cumberland,10 Libby Hill Road,Gray
RSU 15/MSAD 15,635,Gray-New Gloucester High School,637,2022-2023,09-12,231071000346,Public,Cumberland,10 Libby Hill Road,Gray
RSU 15/MSAD 15,635,Gray-New Gloucester High School,637,2021-2022,09-12,231071000346,Public,Cumberland,10 Libby Hill Road,Gray
RSU 15/MSAD 15,635,Gray-New Gloucester High School,637,2020-2021,09-12,231071000346,Public,Cumberland,10 Libby Hill Road,Gray
RSU 15/MSAD 15,635,Gray-New Gloucester High School,637,2019-2020,09-12,231071000346,Public,Cumberland,10 Libby Hill Road,Gray
RSU 15/MSAD 15,635,Gray-New Gloucester High School,637,2018-2019,09-12,231071000346,Public,Cumberland,10 Libby Hill Road,Gray
RSU 15/MSAD 15,635,Gray-New Gloucester High School,637,2017-2018,09-12,231071000346,Public,Cumberland,10 Libby Hill Road,Gray
RSU 15/MSAD 15,635,Gray-New Gloucester Middle School,638,2024-2025,05-08,231071001019,Public,Cumberland,31 Libby Hill Road,Gray
RSU 15/MSAD 15,635,Gray-New Gloucester Middle School,638,2023-2024,05-08,231071001019,Public,Cumberland,31 Libby Hill Road,Gray
RSU 15/MSAD 15,635,Gray-New Gloucester Middle School,638,2022-2023,05-08,231071001019,Public,Cumberland,31 Libby Hill Road,Gray
RSU 15/MSAD 15,635,Gray-New Gloucester Middle School,638,2021-2022,05-08,231071001019,Public,Cumberland,31 Libby Hill Road,Gray
RSU 15/MSAD 15,635,Gray-New Gloucester Middle School,638,2020-2021,05-08,231071001019,Public,Cumberland,31 Libby Hill Road,Gray
RSU 15/MSAD 15,635,Gray-New Gloucester Middle School,638,2019-2020,05-08,231071001019,Public,Cumberland,31 Libby Hill Road,Gray
RSU 15/MSAD 15,635,Gray-New Gloucester Middle School,638,2018-2019,05-08,231071001019,Public,Cumberland,31 Libby Hill Road,Gray
RSU 15/MSAD 15,635,Gray-New Gloucester Middle School,638,2017-2018,05-08,231071001019,Public,Cumberland,31 Libby Hill Road,Gray
RSU 15/MSAD 15,635,Memorial School,639,2024-2025,KG-02,231071000347,Public,Cumberland,86 Intervale Road,New Gloucester
RSU 15/MSAD 15,635,Memorial School,639,2023-2024,KG-02,231071000347,Public,Cumberland,86 Intervale Road,New Gloucester
RSU 15/MSAD 15,635,Memorial School,639,2022-2023,KG-02,231071000347,Public,Cumberland,86 Intervale Road,New Gloucester
RSU 15/MSAD 15,635,Memorial School,639,2021-2022,KG-02,231071000347,Public,Cumberland,86 Intervale Road,New Gloucester
RSU 15/MSAD 15,635,Memorial School,639,2020-2021,KG-02,231071000347,Public,Cumberland,86 Intervale Road,New Gloucester
RSU 15/MSAD 15,635,Memorial School,639,2019-2020,KG-02,231071000347,Public,Cumberland,86 Intervale Road,New Gloucester
RSU 15/MSAD 15,635,Memorial School,639,2018-2019,KG-02,231071000347,Public,Cumberland,86 Intervale Road,New Gloucester
RSU 15/MSAD 15,635,Memorial School,639,2017-2018,KG-02,231071000347,Public,Cumberland,86 Intervale Road,New Gloucester
RSU 15/MSAD 15,635,Russell School,636,2024-2025,KG-02,231071000348,Public,Cumberland,8 Gray Park,Gray
RSU 15/MSAD 15,635,Russell School,636,2023-2024,KG-02,231071000348,Public,Cumberland,8 Gray Park,Gray
RSU 15/MSAD 15,635,Russell School,636,2022-2023,KG-02,231071000348,Public,Cumberland,8 Gray Park,Gray
RSU 15/MSAD 15,635,Russell School,636,2021-2022,KG-02,231071000348,Public,Cumberland,8 Gray Park,Gray
RSU 15/MSAD 15,635,Russell School,636,2020-2021,KG-02,231071000348,Public,Cumberland,8 Gray Park,Gray
RSU 15/MSAD 15,635,Russell School,636,2019-2020,KG-02,231071000348,Public,Cumberland,8 Gray Park,Gray
RSU 15/MSAD 15,635,Russell School,636,2018-2019,KG-02,231071000348,Public,Cumberland,8 Gray Park,Gray
RSU 15/MSAD 15,635,Russell School,636,2017-2018,KG-02,231071000348,Public,Cumberland,8 Gray Park,Gray
RSU 16,1456,Bruce M Whittier Middle School,363,2024-2025,07-08,231477500438,Public,Androscoggin,1457 Maine Street,Poland
RSU 16,1456,Bruce M Whittier Middle School,363,2023-2024,07-08,231477500438,Public,Androscoggin,1457 Maine Street,Poland
RSU 16,1456,Bruce M Whittier Middle School,363,2022-2023,07-08,231477500438,Public,Androscoggin,1457 Maine Street,Poland
RSU 16,1456,Bruce M Whittier Middle School,363,2021-2022,07-08,231477500438,Public,Androscoggin,1457 Maine Street,Poland
RSU 16,1456,Bruce M Whittier Middle School,363,2020-2021,07-08,231477500438,Public,Androscoggin,1457 Maine Street,Poland
RSU 16,1456,Bruce M Whittier Middle School,363,2019-2020,07-08,231477500438,Public,Androscoggin,1457 Maine Street,Poland
RSU 16,1456,Bruce M Whittier Middle School,363,2018-2019,07-08,231477500438,Public,Androscoggin,1457 Maine Street,Poland
RSU 16,1456,Bruce M Whittier Middle School,363,2017-2018,07-08,231477500438,Public,Androscoggin,1457 Maine Street,Poland
RSU 16,1456,Elm Street School-Mechanic Falls,292,2024-2025,PK-06,231477500218,Public,Androscoggin,129 Elm Street,Mechanic Falls
RSU 16,1456,Elm Street School-Mechanic Falls,292,2023-2024,PK-06,231477500218,Public,Androscoggin,129 Elm Street,Mechanic Falls
RSU 16,1456,Elm Street School-Mechanic Falls,292,2022-2023,PK-06,231477500218,Public,Androscoggin,129 Elm Street,Mechanic Falls
RSU 16,1456,Elm Street School-Mechanic Falls,292,2021-2022,PK-06,231477500218,Public,Androscoggin,129 Elm Street,Mechanic Falls
RSU 16,1456,Elm Street School-Mechanic Falls,292,2020-2021,PK-06,231477500218,Public,Androscoggin,129 Elm Street,Mechanic Falls
RSU 16,1456,Elm Street School-Mechanic Falls,292,2019-2020,PK-06,231477500218,Public,Androscoggin,129 Elm Street,Mechanic Falls
RSU 16,1456,Elm Street School-Mechanic Falls,292,2018-2019,PR-06,231477500218,Public,Androscoggin,129 Elm Street,Mechanic Falls
RSU 16,1456,Elm Street School-Mechanic Falls,292,2017-2018,PR-06,231477500218,Public,Androscoggin,129 Elm Street,Mechanic Falls
RSU 16,1456,Minot Consolidated School,303,2024-2025,PK-06,231477500228,Public,Androscoggin,23 Shaw Hill Road,Minot
RSU 16,1456,Minot Consolidated School,303,2023-2024,PK-06,231477500228,Public,Androscoggin,23 Shaw Hill Road,Minot
RSU 16,1456,Minot Consolidated School,303,2022-2023,PK-06,231477500228,Public,Androscoggin,23 Shaw Hill Road,Minot
RSU 16,1456,Minot Consolidated School,303,2021-2022,PK-06,231477500228,Public,Androscoggin,23 Shaw Hill Road,Minot
RSU 16,1456,Minot Consolidated School,303,2020-2021,PK-06,231477500228,Public,Androscoggin,23 Shaw Hill Road,Minot
RSU 16,1456,Minot Consolidated School,303,2019-2020,PK-06,231477500228,Public,Androscoggin,23 Shaw Hill Road,Minot
RSU 16,1456,Minot Consolidated School,303,2018-2019,PR-06,231477500228,Public,Androscoggin,23 Shaw Hill Road,Minot
RSU 16,1456,Minot Consolidated School,303,2017-2018,PR-06,231477500228,Public,Androscoggin,23 Shaw Hill Road,Minot
RSU 16,1456,Poland Community School,361,2024-2025,PK-06,231477500265,Public,Androscoggin,1250 Maine Street,Poland
RSU 16,1456,Poland Community School,361,2023-2024,PK-06,231477500265,Public,Androscoggin,1250 Maine Street,Poland
RSU 16,1456,Poland Community School,361,2022-2023,PK-06,231477500265,Public,Androscoggin,1250 Maine Street,Poland
RSU 16,1456,Poland Community School,361,2021-2022,PK-06,231477500265,Public,Androscoggin,1250 Maine Street,Poland
RSU 16,1456,Poland Community School,361,2020-2021,PK-06,231477500265,Public,Androscoggin,1250 Maine Street,Poland
RSU 16,1456,Poland Community School,361,2019-2020,PK-06,231477500265,Public,Androscoggin,1250 Maine Street,Poland
RSU 16,1456,Poland Community School,361,2018-2019,PR-06,231477500265,Public,Androscoggin,1250 Maine Street,Poland
RSU 16,1456,Poland Community School,361,2017-2018,PR-06,231477500265,Public,Androscoggin,1250 Maine Street,Poland
RSU 16,1456,Poland Regional H S,362,2024-2025,09-12,231477500436,Public,Androscoggin,1457 Maine Street,Poland
RSU 16,1456,Poland Regional H S,362,2023-2024,09-12,231477500436,Public,Androscoggin,1457 Maine Street,Poland
RSU 16,1456,Poland Regional H S,362,2022-2023,09-12,231477500436,Public,Androscoggin,1457 Maine Street,Poland
RSU 16,1456,Poland Regional H S,362,2021-2022,09-12,231477500436,Public,Androscoggin,1457 Maine Street,Poland
RSU 16,1456,Poland Regional H S,362,2020-2021,09-12,231477500436,Public,Androscoggin,1457 Maine Street,Poland
