district,district_id,school,school_id,year,grade_span,ncesid,school_type,county,address,city
Auburn Public Schools,14,Park Avenue Elementary School,27,2022-2023,PK-06,230261000626,Public,Androscoggin,161 Park Avenue,Auburn
Auburn Public Schools,14,Park Avenue Elementary School,27,2021-2022,PK-06,230261000626,Public,Androscoggin,161 Park Avenue,Auburn
Auburn Public Schools,14,Park Avenue Elementary School,27,2020-2021,PK-06,230261000626,Public,Androscoggin,161 Park Avenue,Auburn
Auburn Public Schools,14,Park Avenue Elementary School,27,2019-2020,PK-06,230261000626,Public,Androscoggin,161 Park Avenue,Auburn
Auburn Public Schools,14,Park Avenue Elementary School,27,2018-2019,PR-06,230261000626,Public,Androscoggin,161 Park Avenue,Auburn
Auburn Public Schools,14,Park Avenue Elementary School,27,2017-2018,PR-06,230261000626,Public,Androscoggin,161 Park Avenue,Auburn
Auburn Public Schools,14,Sherwood Heights Elementary Sch,24,2024-2025,PK-06,230261000018,Public,Androscoggin,32 Sherwood Drive,Auburn
Auburn Public Schools,14,Sherwood Heights Elementary Sch,24,2023-2024,PK-06,230261000018,Public,Androscoggin,32 Sherwood Drive,Auburn
Auburn Public Schools,14,Sherwood Heights Elementary Sch,24,2022-2023,PK-06,230261000018,Public,Androscoggin,32 Sherwood Drive,Auburn
Auburn Public Schools,14,Sherwood Heights Elementary Sch,24,2021-2022,PK-06,230261000018,Public,Androscoggin,32 Sherwood Drive,Auburn
Auburn Public Schools,14,Sherwood Heights Elementary Sch,24,2020-2021,PK-06,230261000018,Public,Androscoggin,32 Sherwood Drive,Auburn
Auburn Public Schools,14,Sherwood Heights Elementary Sch,24,2019-2020,PK-06,230261000018,Public,Androscoggin,32 Sherwood Drive,Auburn
Auburn Public Schools,14,Sherwood Heights Elementary Sch,24,2018-2019,PR-06,230261000018,Public,Androscoggin,32 Sherwood Drive,Auburn
Auburn Public Schools,14,Sherwood Heights Elementary Sch,24,2017-2018,PR-06,230261000018,Public,Androscoggin,32 Sherwood Drive,Auburn
Auburn Public Schools,14,Walton School,21,2024-2025,PK-06,230261000020,Public,Androscoggin,92 Mary Carroll Street,Auburn
Auburn Public Schools,14,Walton School,21,2023-2024,PK-06,230261000020,Public,Androscoggin,92 Mary Carroll Street,Auburn
Auburn Public Schools,14,Walton School,21,2022-2023,PK-06,230261000020,Public,Androscoggin,92 Mary Carroll Street,Auburn
Auburn Public Schools,14,Walton School,21,2021-2022,PK-06,230261000020,Public,Androscoggin,92 Mary Carroll Street,Auburn
Auburn Public Schools,14,Walton School,21,2020-2021,PK-06,230261000020,Public,Androscoggin,92 Mary Carroll Street,Auburn
Auburn Public Schools,14,Walton School,21,2019-2020,PK-06,230261000020,Public,Androscoggin,92 Mary Carroll Street,Auburn
Auburn Public Schools,14,Walton School,21,2018-2019,PR-06,230261000020,Public,Androscoggin,92 Mary Carroll Street,Auburn
Auburn Public Schools,14,Walton School,21,2017-2018,PR-06,230261000020,Public,Androscoggin,92 Mary Carroll Street,Auburn
Auburn Public Schools,14,Washburn School,19,2024-2025,PK-06,230261000021,Public,Androscoggin,35 Lake Auburn Avenue,Auburn
Auburn Public Schools,14,Washburn School,19,2023-2024,PK-06,230261000021,Public,Androscoggin,35 Lake Auburn Avenue,Auburn
Auburn Public Schools,14,Washburn School,19,2022-2023,PK-06,230261000021,Public,Androscoggin,35 Lake Auburn Avenue,Auburn
Auburn Public Schools,14,Washburn School,19,2021-2022,PK-06,230261000021,Public,Androscoggin,35 Lake Auburn Avenue,Auburn
Auburn Public Schools,14,Washburn School,19,2020-2021,PK-06,230261000021,Public,Androscoggin,35 Lake Auburn Avenue,Auburn
Auburn Public Schools,14,Washburn School,19,2019-2020,PK-06,230261000021,Public,Androscoggin,35 Lake Auburn Avenue,Auburn
Auburn Public Schools,14,Washburn School,19,2018-2019,PR-06,230261000021,Public,Androscoggin,35 Lake Auburn Avenue,Auburn
Auburn Public Schools,14,Washburn School,19,2017-2018,PR-06,230261000021,Public,Androscoggin,35 Lake Auburn Avenue,Auburn
Augusta Public Schools,28,Capital Area Technical Center,36,2024-2025,09-12,230264000057,Technology Center,Kennebec,40 Pierce Drive,Augusta
Augusta Public Schools,28,Capital Area Technical Center,36,2023-2024,09-12,230264000057,Technology Center,Kennebec,40 Pierce Drive,Augusta
Augusta Public Schools,28,Capital Area Technical Center,36,2022-2023,09-12,230264000057,Technology Center,Kennebec,40 Pierce Drive Suite # 1,Augusta
Augusta Public Schools,28,Capital Area Technical Center,36,2021-2022,09-12,230264000057,Technology Center,Kennebec,40 Pierce Drive Suite # 1,Augusta
Augusta Public Schools,28,Capital Area Technical Center,36,2020-2021,09-12,230264000057,Technology Center,Kennebec,40 Pierce Drive Suite # 1,Augusta
Augusta Public Schools,28,Capital Area Technical Center,36,2019-2020,09-12,230264000057,Technology Center,Kennebec,40 Pierce Drive Suite # 1,Augusta
Augusta Public Schools,28,Capital Area Technical Center,36,2017-2018,09-12,230264000057,Technology Center,Kennebec,40 Pierce Drive Suite # 1,Augusta
Augusta Public Schools,28,Cony,37,2024-2025,09-12,230264023118,Public,Kennebec,60 Pierce Drive,Augusta
Augusta Public Schools,28,Cony,37,2023-2024,09-12,230264023118,Public,Kennebec,60 Pierce Drive,Augusta
Augusta Public Schools,28,Cony,37,2022-2023,09-12,230264023118,Public,Kennebec,60 Pierce Drive,Augusta
Augusta Public Schools,28,Cony,37,2021-2022,09-12,230264023118,Public,Kennebec,60 Pierce Drive,Augusta
Augusta Public Schools,28,Cony,37,2020-2021,09-12,230264023118,Public,Kennebec,60 Pierce Drive,Augusta
Augusta Public Schools,28,Cony,37,2019-2020,09-12,230264023118,Public,Kennebec,60 Pierce Drive,Augusta
Augusta Public Schools,28,Cony,37,2018-2019,09-12,230264023118,Public,Kennebec,60 Pierce Drive,Augusta
Augusta Public Schools,28,Cony,37,2017-2018,07-12,230264023118,Public,Kennebec,60 Pierce Drive,Augusta
Augusta Public Schools,28,Cony Middle School,2021,2024-2025,07-08,230264023175,Public,Kennebec,60 Pierce Drive,Augusta
Augusta Public Schools,28,Cony Middle School,2021,2023-2024,07-08,230264023175,Public,Kennebec,60 Pierce Drive,Augusta
Augusta Public Schools,28,Cony Middle School,2021,2022-2023,07-08,230264023175,Public,Kennebec,60 Pierce Drive,Augusta
Augusta Public Schools,28,Cony Middle School,2021,2021-2022,07-08,230264023175,Public,Kennebec,60 Pierce Drive,Augusta
Augusta Public Schools,28,Cony Middle School,2021,2020-2021,07-08,230264023175,Public,Kennebec,60 Pierce Drive,Augusta
Augusta Public Schools,28,Cony Middle School,2021,2019-2020,07-08,230264023175,Public,Kennebec,60 Pierce Drive,Augusta
