district,district_id,school_name,school_id,year,number
Bar Harbor Public Schools,53,Conners-Emerson School,54,2021-2022,0
Bar Harbor Public Schools,53,Conners-Emerson School,54,2020-2021,0
Bar Harbor Public Schools,53,Conners-Emerson School,54,2018-2019,0
Bar Harbor Public Schools,53,Conners-Emerson School,54,2017-2018,0
Baring Plt Public Schools,547,All Schools,  ,2023-2024,0
Baring Plt Public Schools,547,All Schools,  ,2022-2023,0
Baring Plt Public Schools,547,All Schools,  ,2021-2022,0
Baring Plt Public Schools,547,All Schools,  ,2020-2021,0
Baring Plt Public Schools,547,All Schools,  ,2018-2019,0
Baring Plt Public Schools,547,All Schools,  ,2017-2018,0
Baxter Academy for Technology and Science,1630,All Schools,  ,2023-2024,0
Baxter Academy for Technology and Science,1630,All Schools,  ,2022-2023,0
Baxter Academy for Technology and Science,1630,All Schools,  ,2021-2022,0
Baxter Academy for Technology and Science,1630,All Schools,  ,2020-2021,0
Baxter Academy for Technology and Science,1630,All Schools,  ,2018-2019,0
Baxter Academy for Technology and Science,1630,All Schools,  ,2017-2018,0
Baxter Academy for Technology and Science,1630,Baxter Academy for Tech & Sciences,1648,2023-2024,0
Baxter Academy for Technology and Science,1630,Baxter Academy for Tech & Sciences,1648,2022-2023,0
Baxter Academy for Technology and Science,1630,Baxter Academy for Tech & Sciences,1648,2021-2022,0
Baxter Academy for Technology and Science,1630,Baxter Academy for Tech & Sciences,1648,2020-2021,0
Baxter Academy for Technology and Science,1630,Baxter Academy for Tech & Sciences,1648,2018-2019,0
Baxter Academy for Technology and Science,1630,Baxter Academy for Tech & Sciences,1648,2017-2018,0
Beals Public Schools,62,All Schools,  ,2023-2024,0
Beals Public Schools,62,All Schools,  ,2022-2023,0
Beals Public Schools,62,All Schools,  ,2021-2022,0
Beals Public Schools,62,All Schools,  ,2020-2021,0
Beals Public Schools,62,All Schools,  ,2018-2019,0
Beals Public Schools,62,All Schools,  ,2017-2018,0
Beals Public Schools,62,Beals Elementary School,63,2023-2024,0
Beals Public Schools,62,Beals Elementary School,63,2022-2023,0
Beals Public Schools,62,Beals Elementary School,63,2021-2022,0
Beals Public Schools,62,Beals Elementary School,63,2020-2021,0
Beals Public Schools,62,Beals Elementary School,63,2018-2019,0
Beals Public Schools,62,Beals Elementary School,63,2017-2018,0
Beaver Cove Public Schools,550,All Schools,  ,2023-2024,0
Beaver Cove Public Schools,550,All Schools,  ,2022-2023,0
Beaver Cove Public Schools,550,All Schools,  ,2021-2022,0
Beaver Cove Public Schools,550,All Schools,  ,2020-2021,0
Beaver Cove Public Schools,550,All Schools,  ,2018-2019,0
Beaver Cove Public Schools,550,All Schools,  ,2017-2018,0
Beddington Public Schools,64,All Schools,  ,2023-2024,0
Beddington Public Schools,64,All Schools,  ,2022-2023,0
Beddington Public Schools,64,All Schools,  ,2021-2022,0
Beddington Public Schools,64,All Schools,  ,2020-2021,0
Beddington Public Schools,64,All Schools,  ,2018-2019,0
Beddington Public Schools,64,All Schools,  ,2017-2018,0
Biddeford Public Schools,65,All Schools,  ,2023-2024,25
Biddeford Public Schools,65,All Schools,  ,2022-2023,17
Biddeford Public Schools,65,All Schools,  ,2021-2022,3
Biddeford Public Schools,65,All Schools,  ,2020-2021,0
Biddeford Public Schools,65,All Schools,  ,2018-2019,0
Biddeford Public Schools,65,All Schools,  ,2017-2018,1
Biddeford Public Schools,65,Biddeford High School,66,2023-2024,7
Biddeford Public Schools,65,Biddeford High School,66,2022-2023,1
Biddeford Public Schools,65,Biddeford High School,66,2021-2022,0
Biddeford Public Schools,65,Biddeford High School,66,2020-2021,0
Biddeford Public Schools,65,Biddeford High School,66,2018-2019,0
Biddeford Public Schools,65,Biddeford High School,66,2017-2018,0
Biddeford Public Schools,65,Biddeford Intermediate School,71,2023-2024,4
Biddeford Public Schools,65,Biddeford Intermediate School,71,2022-2023,3
Biddeford Public Schools,65,Biddeford Intermediate School,71,2021-2022,1
Biddeford Public Schools,65,Biddeford Intermediate School,71,2020-2021,0
Biddeford Public Schools,65,Biddeford Intermediate School,71,2018-2019,0
Biddeford Public Schools,65,Biddeford Intermediate School,71,2017-2018,1
Biddeford Public Schools,65,Biddeford Middle School,68,2023-2024,14
Biddeford Public Schools,65,Biddeford Middle School,68,2022-2023,13
Biddeford Public Schools,65,Biddeford Middle School,68,2021-2022,2
Biddeford Public Schools,65,Biddeford Middle School,68,2020-2021,0
Biddeford Public Schools,65,Biddeford Middle School,68,2018-2019,0
Biddeford Public Schools,65,Biddeford Middle School,68,2017-2018,0
Biddeford Public Schools,65,Biddeford Primary School,69,2023-2024,0
Biddeford Public Schools,65,Biddeford Primary School,69,2022-2023,0
Biddeford Public Schools,65,Biddeford Primary School,69,2021-2022,0
Biddeford Public Schools,65,Biddeford Primary School,69,2020-2021,0
Biddeford Public Schools,65,Biddeford Primary School,69,2018-2019,0
Biddeford Public Schools,65,Biddeford Primary School,69,2017-2018,0
Biddeford Public Schools,65,John F Kennedy Memorial School,67,2023-2024,0
Biddeford Public Schools,65,John F Kennedy Memorial School,67,2022-2023,0
Biddeford Public Schools,65,John F Kennedy Memorial School,67,2021-2022,0
Biddeford Public Schools,65,John F Kennedy Memorial School,67,2020-2021,0
Biddeford Public Schools,65,John F Kennedy Memorial School,67,2018-2019,0
Biddeford Public Schools,65,John F Kennedy Memorial School,67,2017-2018,0
Blue Hill Harbor School,1441,Blue Hill Harbor School,1442,2023-2024,0
Blue Hill Harbor School,1441,Blue Hill Harbor School,1442,2022-2023,0
Blue Hill Harbor School,1441,Blue Hill Harbor School,1442,2021-2022,0
Blue Hill Harbor School,1441,Blue Hill Harbor School,1442,2020-2021,0
Blue Hill Harbor School,1441,Blue Hill Harbor School,1442,2018-2019,0
Blue Hill Harbor School,1441,Blue Hill Harbor School,1442,2017-2018,0
Blue Hill Public Schools,72,All Schools,  ,2023-2024,0
Blue Hill Public Schools,72,All Schools,  ,2022-2023,0
Blue Hill Public Schools,72,All Schools,  ,2021-2022,0
Blue Hill Public Schools,72,All Schools,  ,2020-2021,0
Blue Hill Public Schools,72,All Schools,  ,2018-2019,0
Blue Hill Public Schools,72,All Schools,  ,2017-2018,0
Blue Hill Public Schools,72,Blue Hill Consolidated School,73,2023-2024,0
Blue Hill Public Schools,72,Blue Hill Consolidated School,73,2022-2023,0
Blue Hill Public Schools,72,Blue Hill Consolidated School,73,2021-2022,0
Blue Hill Public Schools,72,Blue Hill Consolidated School,73,2020-2021,0
Blue Hill Public Schools,72,Blue Hill Consolidated School,73,2018-2019,0
Blue Hill Public Schools,72,Blue Hill Consolidated School,73,2017-2018,0
Boothbay-Boothbay Hbr CSD,1031,All Schools,  ,2023-2024,0
Boothbay-Boothbay Hbr CSD,1031,All Schools,  ,2022-2023,0
Boothbay-Boothbay Hbr CSD,1031,All Schools,  ,2021-2022,0
Boothbay-Boothbay Hbr CSD,1031,All Schools,  ,2020-2021,0
Boothbay-Boothbay Hbr CSD,1031,All Schools,  ,2018-2019,0
Boothbay-Boothbay Hbr CSD,1031,All Schools,  ,2017-2018,0
Boothbay-Boothbay Hbr CSD,1031,Boothbay Region Elem School,1033,2023-2024,0
Boothbay-Boothbay Hbr CSD,1031,Boothbay Region Elem School,1033,2022-2023,0
Boothbay-Boothbay Hbr CSD,1031,Boothbay Region Elem School,1033,2021-2022,0
Boothbay-Boothbay Hbr CSD,1031,Boothbay Region Elem School,1033,2020-2021,0
Boothbay-Boothbay Hbr CSD,1031,Boothbay Region Elem School,1033,2018-2019,0
Boothbay-Boothbay Hbr CSD,1031,Boothbay Region Elem School,1033,2017-2018,0
Boothbay-Boothbay Hbr CSD,1031,Boothbay Region High School,1032,2023-2024,0
Boothbay-Boothbay Hbr CSD,1031,Boothbay Region High School,1032,2022-2023,0
Boothbay-Boothbay Hbr CSD,1031,Boothbay Region High School,1032,2021-2022,0
Boothbay-Boothbay Hbr CSD,1031,Boothbay Region High School,1032,2020-2021,0
Boothbay-Boothbay Hbr CSD,1031,Boothbay Region High School,1032,2018-2019,0
Boothbay-Boothbay Hbr CSD,1031,Boothbay Region High School,1032,2017-2018,0
Bowerbank Public Schools,74,All Schools,  ,2023-2024,0
Bowerbank Public Schools,74,All Schools,  ,2022-2023,0
Bowerbank Public Schools,74,All Schools,  ,2021-2022,0
Bowerbank Public Schools,74,All Schools,  ,2020-2021,0
Bowerbank Public Schools,74,All Schools,  ,2019-2020,0
Bowerbank Public Schools,74,All Schools,  ,2018-2019,0
Bowerbank Public Schools,74,All Schools,  ,2017-2018,0
Bremen Public Schools,77,All Schools,  ,2023-2024,0
Bremen Public Schools,77,All Schools,  ,2022-2023,0
Bremen Public Schools,77,All Schools,  ,2021-2022,0
Bremen Public Schools,77,All Schools,  ,2020-2021,0
Bremen Public Schools,77,All Schools,  ,2018-2019,0
Bremen Public Schools,77,All Schools,  ,2017-2018,0
Brewer Public Schools,78,All Schools,  ,2023-2024,1
Brewer Public Schools,78,All Schools,  ,2022-2023,0
Brewer Public Schools,78,All Schools,  ,2021-2022,0
